token_count,char_count,avg_word_length,modal_intensifying,modal_mitigating,modal_discourse,modal_particles_total,epistemic_verbs,epistemic_adverbs,hedging_total,positive_evaluation,negative_evaluation,negation_count,compound_count,compound_ratio,connective_causal,connective_contrast,connective_temporal,connective_additive,connectives_total,medical_diagnosis,medical_treatment,medical_symptoms,medical_professionals,temporal_expressions,intensifiers,has_question,doc_id,sent_id,topic,topic_prob,rating
49,321,5.571428571428571,0,0,0,0,0,0,0,1,1,1,0,0.0,0,0,0,1,1,0,0,0,1,0,2,0,7537,1,36,0.2787295366535753,4.0
22,137,5.2727272727272725,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,745,5,-1,0.0228347863783633,6.0
6,37,5.333333333333333,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3764,5,9,0.0813992886875805,4.0
9,53,5.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,2,2,0,0,0,0,0,0,0,6079,3,3,0.7867784953484959,2.0
27,184,5.851851851851852,1,1,1,3,0,0,0,1,1,0,0,0.0,0,1,0,1,2,0,0,0,0,1,0,0,7603,2,-1,0.1292158568993043,2.0
12,72,5.083333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,4228,1,40,1.0,3.0
12,85,6.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,813,2,-1,0.0491788077556499,6.0
11,74,5.818181818181818,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,6667,1,-1,0.0090407628905321,2.0
15,90,5.066666666666666,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0,5317,0,2,1.0,2.0
5,50,9.2,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,391,1,3,0.2675440127363574,6.0
5,28,4.8,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1304,1,10,0.1604417214175747,5.0
7,38,4.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,7529,1,-1,0.0550290718499117,6.0
11,72,5.636363636363637,0,0,1,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2496,4,-1,0.0400770950655086,5.0
6,55,8.333333333333334,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,210,3,4,0.0772918138141645,2.0
30,199,5.666666666666667,0,2,0,2,0,0,0,2,1,0,0,0.0,0,0,0,2,2,0,0,0,1,0,0,0,6822,0,0,0.1904423339415796,4.0
8,57,6.25,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,499,1,-1,0.0376440822179644,1.0
10,71,6.2,1,0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1314,0,5,0.3097226655247619,2.0
19,133,6.052631578947368,0,0,0,0,1,0,1,0,0,1,0,0.0,0,1,0,2,3,0,0,0,0,0,0,0,5447,1,-1,0.0305784374066175,3.0
13,78,5.076923076923077,0,0,0,0,0,0,0,1,0,1,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,5738,5,-1,0.0443719443100314,6.0
15,89,5.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,3,0,0,0,0,0,0,0,1043,1,-1,0.0545473559661027,1.0
26,187,6.230769230769231,0,0,0,0,0,1,1,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1321,2,4,0.4614969118015183,5.0
15,110,6.4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2934,1,-1,0.0453471178722543,6.0
12,66,4.583333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,3571,3,-1,0.0129659094539954,3.0
14,104,6.5,1,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5893,1,-1,0.0614129199153886,5.0
13,90,6.0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,6257,2,-1,0.0472501693692336,4.0
21,138,5.619047619047619,1,0,0,1,0,0,0,0,0,1,0,0.0,0,1,0,1,2,0,0,0,0,0,0,0,5515,2,-1,0.023959374468192,5.0
25,159,5.4,0,0,0,0,0,0,0,0,0,1,0,0.0,2,0,0,1,3,0,0,0,0,0,0,0,6202,15,-1,0.0812562857419502,3.0
8,48,5.125,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1465,1,-1,0.1341172178251287,6.0
7,35,4.142857142857143,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2747,23,12,0.4010787337858028,6.0
5,39,7.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,5651,2,-1,0.0178539672473949,6.0
29,180,5.241379310344827,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,2,2,0,0,1,0,0,0,0,2911,12,-1,0.0621312138936977,2.0
15,85,4.733333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4717,1,-1,0.0434394309257638,5.0
13,79,5.153846153846154,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,4975,3,-1,0.0111134041965094,3.0
6,47,7.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,3084,0,7,0.345259164450294,4.0
12,83,6.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,6498,0,-1,0.0354440378853939,5.0
23,158,5.913043478260869,0,0,0,0,0,0,0,1,0,1,0,0.0,0,0,0,2,2,0,0,0,0,0,0,0,6240,5,-1,0.0377063016963486,2.0
24,153,5.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,724,6,-1,0.0471812610010148,1.0
8,40,4.125,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,3842,0,30,1.0,2.0
21,132,5.333333333333333,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,7822,0,-1,0.0359080403786469,2.0
6,52,7.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,1,0,916,14,3,0.4480641738785422,1.0
19,129,5.842105263157895,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5697,2,-1,0.042335158516602,5.0
10,47,3.8,0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,7913,0,18,0.4510625201052551,4.0
5,28,4.8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6537,5,-1,0.0111298156037202,4.0
10,59,5.0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,7231,5,20,0.277526563239368,2.0
18,114,5.388888888888889,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,5168,3,-1,0.033266573643094,1.0
19,135,6.157894736842105,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,6964,1,-1,0.0454274847954218,5.0
9,76,7.555555555555555,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2497,1,-1,0.0087546118284821,6.0
13,79,5.153846153846154,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,2537,2,-1,0.0333817960147177,1.0
16,117,6.375,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,3624,2,-1,0.1146694856607002,1.0
14,88,5.357142857142857,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,2,0,0,0,0,0,0,0,368,2,13,0.2419038464945483,2.0
5,31,5.4,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4962,0,17,1.0,6.0
13,119,8.23076923076923,0,0,0,0,0,0,0,0,0,2,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,3925,2,4,0.1014262642449385,5.0
16,107,5.75,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,3238,2,2,0.1252374203617889,1.0
45,300,5.688888888888889,1,0,1,2,0,0,0,0,0,2,0,0.0,0,0,0,2,2,0,1,0,2,0,1,0,7693,6,-1,0.0516136264124988,5.0
24,174,6.291666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,2,3,1,0,1,0,0,1,0,4230,5,4,0.3204148219719969,1.0
24,151,5.333333333333333,1,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,1,2,0,1,0,0,0,0,0,525,1,-1,0.0380777191521737,4.0
8,46,4.875,0,0,0,0,0,0,0,1,0,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,5188,0,10,0.0586377611732649,6.0
8,48,5.125,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,2,0,0,0,1,0,0,0,4368,2,-1,0.048421434184818,2.0
